pta,peso_bruto,imp_guia,no_guia,no_factura,Pedimento,Day/Month/Year,Impo(1)Expo(2),Dummy
CI21037398,1.012000003,32.36,1Z5674320102721012,C21035610,0,4/7/2021,1,
CI21037424,1.012000003,27.87,1Z5674320102728113,C21045681,0,4/7/2021,1,
CI21037318,1.012000003,32.36,1Z5674320102728284,C21035630,0,4/7/2021,1,
CI21037337,1.012000003,27.87,1Z5674320102729541,C21045681,0,4/7/2021,1,
CI21037340,1.012000003,27.87,1Z5674320102730968,C21045681,0,4/7/2021,1,
CI21037338,1.012000003,27.87,1Z5674320102731216,C21045681,0,4/7/2021,1,
CI21037452,1.012000003,27.87,1Z5674320102732377,C21045656,0,4/7/2021,1,
CI21037454,1.012000003,27.87,1Z5674320102732779,C21045656,0,4/7/2021,1,
CI21037438,1.012000003,27.87,1Z5674320102733223,C21045656,0,4/7/2021,1,
CI21037453,1.012000003,78.91,1Z5674320102739432,C21045656,0,4/7/2021,1,
CI21037332,1.012000003,39.66,1Z5674320102739978,C21045681,0,4/7/2021,1,
CI21037347,1.012000003,35.52,1Z5674320102747076,C21045681,0,4/7/2021,1,
CI21037335,1.012000003,39.66,1Z5674320102748397,C21045681,0,4/7/2021,1,
CI21047500,1.012000003,39.66,1Z5674320102768875,C21045681,0,4/7/2021,1,
CI21037339,13.024,36.83,1Z5674320102789432,C21045681,0,4/7/2021,1,
CI21047490,1.012000003,17.5,1Z5674320102847897,C21045681,0,4/7/2021,1,
CI21037175,1.012000003,34.38,1Z5674324402557361,C21035511,0,4/7/2021,1,
CI21037303,8.008000002,26.56,1Z5AV3880198861797,C21035566,0,4/7/2021,1,
CI21037211,2.002,14.46,1Z62Y20Y0196308264,C21035513,0,4/7/2021,1,
CI21037116,3.014000003,19.42,1Z62Y20Y0199997210,C21035513,0,4/7/2021,1,
CI21037403,12.012,32.51,1Z6661320165093053,C21035651,0,4/7/2021,1,
CI21037034,8.008000002,26.56,1Z7054X20159280795,C21035536,0,4/7/2021,1,
CI21037300,1.012000003,9.48,1Z7373300102725116,C21035566,0,4/7/2021,1,
CI21037108,150.15,268,1Z7464XW0163561408,C21035524,0,4/7/2021,1,
CI21037374,12.012,32.51,1Z74V6280167199557,C21035651,0,4/7/2021,1,
CI21037445,10.978,25.26,1Z7511500134578167,C21045656,0,4/7/2021,1,
CI21037238,1.012000003,32.01,1Z7511500134678611,C21035516,0,4/7/2021,1,
CI21037237,1.012000003,32.01,1Z7511500134678657,C21035516,0,4/7/2021,1,
CI21037277,2.002,50.33,1Z7511500134744549,C21035566,0,4/7/2021,1,
CI21037257,2.002,20.43,1Z7511500134778781,C21035566,0,4/7/2021,1,
CI21037446,1.012000003,17.32,1Z7511500134834488,C21045656,0,4/7/2021,1,
CI21047471,4.993999999,17.54,1Z7511500134843236,C21045656,0,4/7/2021,1,
CI21037409,1.012000003,14.25,1Z7511500134866935,C21035651,0,4/7/2021,1,
CI21037227,1.012000003,59.13,1Z7759450144745508,C21035516,0,4/7/2021,1,
CI21037200,2.002,29.13,1Z7759450144757826,C21035516,0,4/7/2021,1,
CI21037135,0.989999998,62.81,1Z7759450144814184,C21035555,0,4/7/2021,1,
CI21037229,1.012000003,14.25,1Z7759450144829221,C21035516,0,4/7/2021,1,
CI21037182,4.004000001,16.16,1Z7759450144847603,C21035511,0,4/7/2021,1,
CI21037228,1.012000003,30.37,1Z7759450144850993,C21035516,0,4/7/2021,1,
CI21037195,1.012000003,30.37,1Z7759450144851821,C21035513,0,4/7/2021,1,
CI21037168,2.002,14.25,1Z7759450144921933,C21035513,0,4/7/2021,1,
CI21037159,8.998,39.25,1Z7759450144925402,C21035513,0,4/7/2021,1,
CI21037363,1.012000003,17.32,1Z7759450144932672,C21035630,0,4/7/2021,1,
CI21037360,1.012000003,17.32,1Z7759450144949762,C21035630,0,4/7/2021,1,
CI21037212,2.002,20.85,1Z7759450144961702,C21035516,0,4/7/2021,1,
CI21037209,1.012000003,14.25,1Z7759450144984278,C21035524,0,4/7/2021,1,
CI21037214,1.012000003,17.32,1Z7759450144984705,C21035516,0,4/7/2021,1,
CI21037354,8.998,71.69,1Z7759450145016875,C21035651,0,4/7/2021,1,
CI21047484,2.002,29.16,1Z7759450145094791,C21045681,0,4/7/2021,1,
CI21037396,1.012000003,17.32,1Z7759450145114527,C21045656,0,4/7/2021,1,
CI21037377,1.012000003,29.17,1Z7759450145122983,C21035644,0,4/7/2021,1,
CI21047485,1.012000003,21.05,1Z7759450145185915,C21045681,0,4/7/2021,1,
CI21037441,4.993999999,22.27,1Z7759450145270546,C21045681,0,4/7/2021,1,
CI21047497,3.014000003,39.65,1Z7759450145275612,C21045681,0,4/7/2021,1,
CI21037309,7.018000004,64.34,1Z79A82V0198190709,C21035566,0,4/7/2021,1,
CI21037404,11.022,42.95,1Z81W9840263122974,C21035651,0,4/7/2021,1,
CI21037167,6.006000001,33.63,1Z81W9840263658486,C21035516,0,4/7/2021,1,
CI21037359,4.004000001,27.62,1Z82A3770190378745,C21035636,0,4/7/2021,1,
CI21037184,15.026,28.04,1Z8547200798614467,C21035513,0,4/7/2021,1,
CI21037241,1.012000003,116.91,1Z8547201598242513,C21035516,0,4/7/2021,1,
CI21037176,2.002,0.5,1Z8695290146158451,C21035513,0,4/7/2021,1,
CI21024011,10.01,23.93,1Z8695290146158586,C21035513,0,4/7/2021,1,
CI21037178,3.014000003,19.43,1Z8695290146158595,C21035513,0,4/7/2021,1,
CI21036997,8.008000002,21.45,1Z8695290146159209,C21035513,0,4/7/2021,1,
CI21025167,13.024,27.79,1Z8695290146169583,C21035513,0,4/7/2021,1,
CI21036997,2.002,2.83,1Z8695290146169770,C21035513,0,4/7/2021,1,
